City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Tuatapere,NZ,-46.1333,167.6833,49.82,70,5,3.56,clear sky
292,Tandalti,SD,13.0167,31.8667,86.92,46,93,14.67,overcast clouds
293,Ixtapa,MX,20.7,-105.2,81.63,69,0,13.8,clear sky
294,Shelburne,CA,44.0787,-80.2041,75.99,65,25,6.31,scattered clouds
295,Lompoc,US,34.6391,-120.4579,71.74,75,100,14.97,overcast clouds
296,Christchurch,NZ,-43.5333,172.6333,55.9,95,75,2.3,broken clouds
297,Mocorito,MX,25.4833,-107.9167,93.25,17,12,10.18,few clouds
298,Sudova Vyshnya,UA,49.7889,23.3722,47.8,79,9,3.74,clear sky
299,Grindavik,IS,63.8424,-22.4338,49.95,100,100,21.85,overcast clouds
300,Tual,ID,-5.6667,132.75,82.44,74,100,9.55,overcast clouds
301,Batman,TR,37.8874,41.1322,57.0,88,75,17.27,thunderstorm with light rain
302,Iskateley,RU,67.6803,53.1512,35.31,93,100,12.8,overcast clouds
303,Nyirbogat,HU,47.8034,22.0656,58.44,60,87,5.44,overcast clouds
304,Akyab,MM,20.15,92.9,83.55,80,55,6.29,broken clouds
305,Aripuana,BR,-9.1667,-60.6333,81.28,75,100,0.43,overcast clouds
306,Qom,IR,34.6401,50.8764,75.02,14,0,0.47,clear sky
307,Oistins,BB,13.0667,-59.5333,80.69,83,40,20.71,scattered clouds
308,Fortuna,US,40.5982,-124.1573,69.93,73,0,9.22,clear sky
309,Faanui,PF,-16.4833,-151.75,80.13,68,55,5.66,broken clouds
310,Marsh Harbour,BS,26.5412,-77.0636,80.17,70,7,7.56,clear sky
311,Tveit,NO,58.2337,8.122,51.1,76,0,6.91,clear sky
312,Morada Nova,BR,-5.1067,-38.3725,77.47,82,81,4.99,broken clouds
313,Sabzevar,IR,36.2126,57.6819,69.17,26,0,2.66,clear sky
314,Qaqortoq,GL,60.7167,-46.0333,32.83,73,34,2.59,scattered clouds
315,Nampula,MZ,-15.1165,39.2666,66.15,88,0,6.91,clear sky
316,Labuhan,ID,-6.8844,112.2051,77.7,89,32,7.4,scattered clouds
